Timestamp,Umur,Domisili,OlahragaPenting,Jenis,DurasiOlahraga,IstOlahraga,MlAirMinum
9/30/2020 18:33:23,19,Jabodetabek,Ya,Work Out,30,2,2000
9/30/2020 18:36:21,19,Jabodetabek,Ya,Work Out,20,6,2000
9/30/2020 18:37:12,19,Jabodetabek,Ya,Work Out,10,2,1000
9/30/2020 18:38:51,19,Jabodetabek,Ya,Tidak berolahraga,0,0,500
9/30/2020 18:46:45,19,Jabodetabek,Ya,Jogging,15,1,400
9/30/2020 18:47:12,19,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",150,2,2000
9/30/2020 18:50:49,18,Jabodetabek,Ya,Jogging,30,1,750
9/30/2020 18:51:53,17,Jabodetabek,Ya,Tidak berolahraga,0,0,750
9/30/2020 18:52:03,18,Jabodetabek,Ya,Work Out,2,12,400
9/30/2020 18:52:37,17,Jabodetabek,Ya,Work Out,15,1,600
9/30/2020 18:57:08,18,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",45,2,2000
9/30/2020 18:58:43,19,Jabodetabek,Ya,Jogging,0,1,250
9/30/2020 19:01:39,18,Jabodetabek,Ya,Tidak berolahraga,0,2,750
9/30/2020 19:05:38,20,Jabodetabek,Ya,Tidak berolahraga,0,0,0
9/30/2020 19:05:46,20,Jabodetabek,Ya,Tidak berolahraga,0,0,0
9/30/2020 19:09:58,19,Jabodetabek,Ya,Tidak berolahraga,0,0,500
9/30/2020 19:12:41,18,Non-Jabodetabek,Ya,Jogging,60,0,2
9/30/2020 19:16:52,17,Non-Jabodetabek,Ya,Jogging,2,1,1000
9/30/2020 19:22:41,20,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",2,0.5,250
9/30/2020 19:24:10,19,Jabodetabek,Ya,Tidak berolahraga,0,0,0
9/30/2020 19:25:03,19,Jabodetabek,Ya,Work Out,5,5,750
9/30/2020 19:30:27,18,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",120,1,1500
9/30/2020 19:30:48,19,Jabodetabek,Ya,Tidak berolahraga,0,0,0
9/30/2020 19:36:22,19,Jabodetabek,Tidak,Tidak berolahraga,0,0,0
9/30/2020 19:58:16,18,Jabodetabek,Ya,Work Out,15,1,250
9/30/2020 20:16:37,18,Jabodetabek,Ya,Tidak berolahraga,0,1,500
9/30/2020 20:18:20,18,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",60,2,4
9/30/2020 20:19:49,18,Non-Jabodetabek,Ya,sit up,10,10,6
9/30/2020 20:29:14,19,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",120,1,7
9/30/2020 20:38:39,19,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",60,2,1000
9/30/2020 20:41:29,19,Jabodetabek,Ya,Jogging,1,1,1000
9/30/2020 21:20:57,18,Jabodetabek,Ya,Work Out,2,2,500
9/30/2020 21:24:49,19,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",3,1,1000
9/30/2020 22:29:44,18,Jabodetabek,Ya,Work Out,30,2,500
9/30/2020 22:40:32,21,Jabodetabek,Ya,Bersepeda,3,1,4
10/1/2020 1:23:32,18,Jabodetabek,Tidak,Tidak berolahraga,0,0,0
10/1/2020 9:18:57,20,Jabodetabek,Ya,Bersepeda,5,3,500
10/2/2020 15:49:39,21,Jabodetabek,Ya,Work Out,60,3,500
10/2/2020 15:53:48,22,Jabodetabek,Ya,Tidak berolahraga,0,2,1000
10/2/2020 15:55:43,19,Jabodetabek,Ya,"Olahraga lapangan (Futsal, bulutangkis, dsb)",15,6,750
